date,name,mobility_score
2020-04-10,Sydney - Northern Beaches,-0.35811976372539417
2020-04-10,Sydney - Outer South West,-0.44053951367271676
2020-04-10,Sydney - Outer West and Blue Mountains,-0.5075748604301181
2020-04-10,Sydney - Parramatta,-0.41635596362376315
2020-04-10,Sydney - Ryde,-0.300467053915634
2020-04-10,Sydney - South West,-0.26891702858988387
2020-04-10,Sydney - Sutherland,-0.18019051285794124
2020-04-10,all,-0.5322469639620864
2020-04-11,Sydney - Baulkham Hills and Hawkesbury,0.12467835878758222
2020-04-11,Sydney - Blacktown,0.33945785861485167
2020-04-11,Sydney - City and Inner South,-0.28377377580643626
2020-04-11,Sydney - Eastern Suburbs,-0.2614307883133779
2020-04-11,Sydney - Inner South West,0.029470950751810044
2020-04-11,Sydney - Inner West,-0.07627149851613953
2020-04-11,Sydney - North Sydney and Hornsby,-0.10403761047478398
2020-04-11,Sydney - Northern Beaches,0.22995634169573967
2020-04-11,Sydney - Outer South West,0.6926497500737454
2020-04-11,Sydney - Outer West and Blue Mountains,0.11629960474360893
2020-04-11,Sydney - Parramatta,0.01842502879491016
2020-04-11,Sydney - Ryde,0.27580747000114053
2020-04-11,Sydney - South West,0.009685339040252986
2020-04-11,Sydney - Sutherland,0.3211565844110247
2020-04-11,all,-0.11961422206061258
2020-04-12,Sydney - Baulkham Hills and Hawkesbury,0.0
2020-04-12,Sydney - Blacktown,-0.11670915904358602
2020-04-12,Sydney - City and Inner South,-0.555148941977457
2020-04-12,Sydney - Eastern Suburbs,-0.4839502515969629
2020-04-12,Sydney - Inner South West,-0.36066724481583756
2020-04-12,Sydney - Inner West,-0.4450404029369398
2020-04-12,Sydney - North Sydney and Hornsby,-0.35697562094399227
2020-04-12,Sydney - Northern Beaches,-0.3950182323513732
2020-04-12,Sydney - Outer South West,-0.4397209407838998
2020-04-12,Sydney - Outer West and Blue Mountains,-0.3834817139329102
2020-04-12,Sydney - Parramatta,-0.2517338647869862
2020-04-12,Sydney - Ryde,-0.34730869174769324
2020-04-12,Sydney - South West,-0.27875602695916274
2020-04-12,Sydney - Sutherland,-0.45149217858660845
2020-04-12,all,-0.5452216013207476
2020-04-13,Sydney - Baulkham Hills and Hawkesbury,0.2262517405574092
2020-04-13,Sydney - Blacktown,-0.16462746399985442
2020-04-13,Sydney - City and Inner South,-0.42016235851687944
2020-04-13,Sydney - Eastern Suburbs,-0.4711082677445406
2020-04-13,Sydney - Inner South West,-0.1947294316394331
2020-04-13,Sydney - Inner West,-0.2794420089677786
2020-04-13,Sydney - North Sydney and Hornsby,-0.24108904609533496
2020-04-13,Sydney - Northern Beaches,-0.34584923402333617
2020-04-13,Sydney - Outer South West,0.02105572554797485
2020-04-13,Sydney - Outer West and Blue Mountains,-0.20650723575611957
2020-04-13,Sydney - Parramatta,-0.11757496449467397
2020-04-13,Sydney - Ryde,-0.02453436817586335
2020-04-13,Sydney - South West,-0.2874088197601567
2020-04-13,Sydney - Sutherland,-0.42964542579563963
2020-04-13,all,-0.4201736193169034
2020-04-14,Sydney - Baulkham Hills and Hawkesbury,0.12201123203794484
2020-04-14,Sydney - Blacktown,0.08768432059092827
2020-04-14,Sydney - City and Inner South,0.018267370160136635
2020-04-14,Sydney - Eastern Suburbs,-0.007311377140532214
2020-04-14,Sydney - Inner South West,0.1563357812500075
2020-04-14,Sydney - Inner West,0.09371257908155463
2020-04-14,Sydney - North Sydney and Hornsby,0.011719059182631046
2020-04-14,Sydney - Northern Beaches,0.0001647608819835946
2020-04-14,Sydney - Outer South West,0.16592662033433941
2020-04-14,Sydney - Outer West and Blue Mountains,0.10715081461451147
2020-04-14,Sydney - Parramatta,0.1772931657782607
