date,name,mobility_score
2020-04-14,all,0.07287111028761266
2020-04-15,Melbourne - Inner,0.05680097723765196
2020-04-15,Melbourne - Inner East,0.06032808812656199
2020-04-15,Melbourne - Inner South,0.08157826585622593
2020-04-15,Melbourne - North East,0.12334772201577661
2020-04-15,Melbourne - North West,0.08428589923875748
2020-04-15,Melbourne - Outer East,0.19508015084807548
2020-04-15,Melbourne - South East,0.043829836323372694
2020-04-15,Melbourne - West,0.11011782630286022
2020-04-15,Mornington Peninsula,0.11375784960337001
2020-04-15,all,0.053724373476155975
2020-04-16,Melbourne - Inner,0.07784305351341413
2020-04-16,Melbourne - Inner East,0.059831052315938424
2020-04-16,Melbourne - Inner South,0.0971965229252106
2020-04-16,Melbourne - North East,0.15222232646662437
2020-04-16,Melbourne - North West,0.2044133557277847
2020-04-16,Melbourne - Outer East,0.09810414874690915
2020-04-16,Melbourne - South East,0.15203547744129517
2020-04-16,Melbourne - West,0.10889496574019586
2020-04-16,Mornington Peninsula,0.13464553769884324
2020-04-16,all,0.07965871016084855
2020-04-17,Melbourne - Inner,0.09926532500460265
2020-04-17,Melbourne - Inner East,0.042788867377769886
2020-04-17,Melbourne - Inner South,0.056261185093180205
2020-04-17,Melbourne - North East,0.08779136813986603
2020-04-17,Melbourne - North West,0.12837277138477252
2020-04-17,Melbourne - Outer East,0.15293509135006034
2020-04-17,Melbourne - South East,0.0861802319296708
2020-04-17,Melbourne - West,0.13275608224882945
2020-04-17,Mornington Peninsula,-0.006793143043785555
2020-04-17,all,0.07456745431337458
2020-04-18,Melbourne - Inner,0.05111695516492033
2020-04-18,Melbourne - Inner East,0.059397423337386505
2020-04-18,Melbourne - Inner South,0.029881030916954605
2020-04-18,Melbourne - North East,0.14358282106324258
2020-04-18,Melbourne - North West,0.07454724255289794
2020-04-18,Melbourne - Outer East,0.18371371118317256
2020-04-18,Melbourne - South East,0.0898115292049771
2020-04-18,Melbourne - West,0.14312618881067798
2020-04-18,Mornington Peninsula,0.1232942599580904
2020-04-18,all,0.05393553590570798
2020-04-19,Melbourne - Inner,0.010300135615299674
2020-04-19,Melbourne - Inner East,0.04476006739535259
2020-04-19,Melbourne - Inner South,0.08498433859826034
2020-04-19,Melbourne - North East,0.21646688801944206
2020-04-19,Melbourne - North West,0.3132864152981173
2020-04-19,Melbourne - Outer East,0.13164273902384324
2020-04-19,Melbourne - South East,0.09712890814788255
2020-04-19,Melbourne - West,0.11889631221556111
2020-04-19,Mornington Peninsula,0.041453464835731174
2020-04-19,all,0.047595976336883006
2020-04-20,Melbourne - Inner,0.10795101677279384
2020-04-20,Melbourne - Inner East,0.12536910866992426
2020-04-20,Melbourne - Inner South,0.1169638015386144
2020-04-20,Melbourne - North East,0.17016162743387325
2020-04-20,Melbourne - North West,0.20376733837850022
2020-04-20,Melbourne - Outer East,0.18085276823007368
2020-04-20,Melbourne - South East,0.08144171669765377
2020-04-20,Melbourne - West,0.14825485117073425
2020-04-20,Mornington Peninsula,0.13612325874302858
2020-04-20,all,0.1078297815942013
2020-04-21,Melbourne - Inner,0.10551008914467606
2020-04-21,Melbourne - Inner East,0.10783070959062205
2020-04-21,Melbourne - Inner South,0.13329239834408213
2020-04-21,Melbourne - North East,0.19183900816895919
2020-04-21,Melbourne - North West,0.20212063100940278
2020-04-21,Melbourne - Outer East,0.08717297706704852
2020-04-21,Melbourne - South East,0.10330481521584813
2020-04-21,Melbourne - West,0.15491090885866363
2020-04-21,Mornington Peninsula,0.165332638064487
2020-04-21,all,0.11497886961563364
2020-04-22,Melbourne - Inner,0.10755221862795564
2020-04-22,Melbourne - Inner East,0.12316789543498656
2020-04-22,Melbourne - Inner South,0.11269186844070342
2020-04-22,Melbourne - North East,0.14227902651051566
2020-04-22,Melbourne - North West,0.22767395641096788
2020-04-22,Melbourne - Outer East,0.19477045700093762
2020-04-22,Melbourne - South East,0.1527556709517742
2020-04-22,Melbourne - West,0.16449507982922135
2020-04-22,Mornington Peninsula,0.12430010404702177
2020-04-22,all,0.11148596281410642
2020-04-23,Melbourne - Inner,0.10648237406922233
2020-04-23,Melbourne - Inner East,0.0864227464949222
2020-04-23,Melbourne - Inner South,0.10263659907740721
2020-04-23,Melbourne - North East,0.18381764209276094
2020-04-23,Melbourne - North West,0.18997204093522244
2020-04-23,Melbourne - Outer East,0.21810024424047048
2020-04-23,Melbourne - South East,0.19425411323745742
2020-04-23,Melbourne - West,0.14753025841192363
2020-04-23,Mornington Peninsula,0.13974471960629622
2020-04-23,all,0.10588978195424865
2020-04-24,Melbourne - Inner,0.13263031138776374
2020-04-24,Melbourne - Inner East,0.05757386673282277
2020-04-24,Melbourne - Inner South,0.15771248530748544
2020-04-24,Melbourne - North East,0.1092579130292783
2020-04-24,Melbourne - North West,0.11017379377187346
2020-04-24,Melbourne - Outer East,0.23043687136994342
2020-04-24,Melbourne - South East,0.13255323478241327
2020-04-24,Melbourne - West,0.18257309629454077
2020-04-24,Mornington Peninsula,0.07881962061594344
2020-04-24,all,0.11489152240300793
2020-04-25,Melbourne - Inner,-0.11021313777490996
