date,name,cases_rolling,facebook_mobility_score
2020-01-06,Yarra (C),,
2020-01-06,all,,
2020-01-06,highSE,,
2020-01-06,lowSE,,
2020-01-06,midSE,,
2020-01-07,Banyule (C),0.0,
2020-01-07,Bayside (C),0.0,
2020-01-07,Boroondara (C),0.0,
2020-01-07,Brimbank (C),0.0,
2020-01-07,Cardinia (S),0.0,
2020-01-07,Casey (C),0.0,
2020-01-07,Darebin (C),0.0,
2020-01-07,Frankston (C),0.0,
2020-01-07,Glen Eira (C),0.0,
2020-01-07,Greater Dandenong (C),0.0,
2020-01-07,Hobsons Bay (C),0.0,
2020-01-07,Hume (C),0.0,
2020-01-07,Kingston (C) (Vic.),,
2020-01-07,Knox (C),0.0,
2020-01-07,Manningham (C),0.0,
2020-01-07,Maribyrnong (C),0.0,
2020-01-07,Maroondah (C),0.0,
2020-01-07,Melbourne (C),0.0,
2020-01-07,Melton (C),0.0,
2020-01-07,Monash (C),0.0,
2020-01-07,Moonee Valley (C),0.0,
2020-01-07,Moreland (C),0.0,
2020-01-07,Mornington Peninsula (S),0.0,
2020-01-07,Nillumbik (S),0.0,
2020-01-07,Port Phillip (C),0.0,
2020-01-07,Stonnington (C),0.0,
2020-01-07,Whitehorse (C),0.0,
2020-01-07,Whittlesea (C),0.0,
2020-01-07,Wyndham (C),0.0,
2020-01-07,Yarra (C),0.0,
2020-01-07,all,0.0,
2020-01-07,highSE,0.0,
2020-01-07,lowSE,0.0,
2020-01-07,midSE,0.0,
2020-01-08,Banyule (C),0.0,
2020-01-08,Bayside (C),0.0,
2020-01-08,Boroondara (C),0.0,
2020-01-08,Brimbank (C),0.0,
2020-01-08,Cardinia (S),0.0,
2020-01-08,Casey (C),0.0,
2020-01-08,Darebin (C),0.0,
2020-01-08,Frankston (C),0.0,
2020-01-08,Glen Eira (C),0.0,
2020-01-08,Greater Dandenong (C),0.0,
2020-01-08,Hobsons Bay (C),0.0,
2020-01-08,Hume (C),0.0,
2020-01-08,Kingston (C) (Vic.),,
2020-01-08,Knox (C),0.0,
2020-01-08,Manningham (C),0.0,
2020-01-08,Maribyrnong (C),0.0,
2020-01-08,Maroondah (C),0.0,
2020-01-08,Melbourne (C),0.0,
2020-01-08,Melton (C),0.0,
2020-01-08,Monash (C),0.0,
2020-01-08,Moonee Valley (C),0.0,
2020-01-08,Moreland (C),0.0,
2020-01-08,Mornington Peninsula (S),0.0,
2020-01-08,Nillumbik (S),0.0,
2020-01-08,Port Phillip (C),0.0,
2020-01-08,Stonnington (C),0.0,
2020-01-08,Whitehorse (C),0.0,
2020-01-08,Whittlesea (C),0.0,
2020-01-08,Wyndham (C),0.0,
2020-01-08,Yarra (C),0.0,
2020-01-08,all,0.0,
2020-01-08,highSE,0.0,
2020-01-08,lowSE,0.0,
2020-01-08,midSE,0.0,
2020-01-09,Banyule (C),0.0,
2020-01-09,Bayside (C),0.0,
2020-01-09,Boroondara (C),0.0,
2020-01-09,Brimbank (C),0.0,
2020-01-09,Cardinia (S),0.0,
2020-01-09,Casey (C),0.0,
2020-01-09,Darebin (C),0.0,
2020-01-09,Frankston (C),0.0,
2020-01-09,Glen Eira (C),0.0,
2020-01-09,Greater Dandenong (C),0.0,
2020-01-09,Hobsons Bay (C),0.0,
2020-01-09,Hume (C),0.0,
2020-01-09,Kingston (C) (Vic.),,
2020-01-09,Knox (C),0.0,
2020-01-09,Manningham (C),0.0,
2020-01-09,Maribyrnong (C),0.0,
2020-01-09,Maroondah (C),0.0,
2020-01-09,Melbourne (C),0.0,
2020-01-09,Melton (C),0.0,
2020-01-09,Monash (C),0.0,
2020-01-09,Moonee Valley (C),0.0,
2020-01-09,Moreland (C),0.0,
2020-01-09,Mornington Peninsula (S),0.0,
2020-01-09,Nillumbik (S),0.0,
2020-01-09,Port Phillip (C),0.0,
2020-01-09,Stonnington (C),0.0,
2020-01-09,Whitehorse (C),0.0,
2020-01-09,Whittlesea (C),0.0,
2020-01-09,Wyndham (C),0.0,
2020-01-09,Yarra (C),0.0,
2020-01-09,all,0.0,
2020-01-09,highSE,0.0,
2020-01-09,lowSE,0.0,
2020-01-09,midSE,0.0,
2020-01-10,Banyule (C),0.0,
2020-01-10,Bayside (C),0.0,
2020-01-10,Boroondara (C),0.0,
2020-01-10,Brimbank (C),0.0,
2020-01-10,Cardinia (S),0.0,
2020-01-10,Casey (C),0.0,
2020-01-10,Darebin (C),0.0,
2020-01-10,Frankston (C),0.0,
2020-01-10,Glen Eira (C),0.0,
2020-01-10,Greater Dandenong (C),0.0,
2020-01-10,Hobsons Bay (C),0.0,
2020-01-10,Hume (C),0.0,
2020-01-10,Kingston (C) (Vic.),,
2020-01-10,Knox (C),0.0,
2020-01-10,Manningham (C),0.0,
2020-01-10,Maribyrnong (C),0.0,
2020-01-10,Maroondah (C),0.0,
2020-01-10,Melbourne (C),0.0,
2020-01-10,Melton (C),0.0,
2020-01-10,Monash (C),0.0,
2020-01-10,Moonee Valley (C),0.0,
2020-01-10,Moreland (C),0.0,
2020-01-10,Mornington Peninsula (S),0.0,
2020-01-10,Nillumbik (S),0.0,
2020-01-10,Port Phillip (C),0.0,
2020-01-10,Stonnington (C),0.0,
2020-01-10,Whitehorse (C),0.0,
2020-01-10,Whittlesea (C),0.0,
2020-01-10,Wyndham (C),0.0,
2020-01-10,Yarra (C),0.0,
2020-01-10,all,0.0,
2020-01-10,highSE,0.0,
