date,name,cases_rolling,facebook_mobility_score
2020-01-06,Waverley (A),,
2020-01-06,Willoughby (C),,
2020-01-06,Woollahra (A),,
2020-01-06,all,,
2020-01-06,highSE,,
2020-01-06,lowSE,,
2020-01-06,midSE,,
2020-01-07,Bayside (A),0.0,
2020-01-07,Blacktown (C),0.0,
2020-01-07,Burwood (A),0.0,
2020-01-07,Camden (A),0.0,
2020-01-07,Canada Bay (A),0.0,
2020-01-07,Canterbury-Bankstown (A),0.0,
2020-01-07,Central Coast (C) (NSW),0.0,
2020-01-07,Cumberland (A),0.0,
2020-01-07,Fairfield (C),0.0,
2020-01-07,Georges River (A),0.0,
2020-01-07,Hawkesbury (C),0.0,
2020-01-07,Hornsby (A),0.0,
2020-01-07,Hunters Hill (A),0.0,
2020-01-07,Inner West (A),0.0,
2020-01-07,Ku-ring-gai (A),0.0,
2020-01-07,Lane Cove (A),0.0,
2020-01-07,Liverpool (C),0.0,
2020-01-07,Mosman (A),0.0,
2020-01-07,North Sydney (A),0.0,
2020-01-07,Northern Beaches (A),0.0,
2020-01-07,Parramatta (C),0.0,
2020-01-07,Penrith (C),0.0,
2020-01-07,Randwick (C),0.0,
2020-01-07,Ryde (C),0.0,
2020-01-07,Strathfield (A),0.0,
2020-01-07,Sydney (C),0.0,
2020-01-07,The Hills Shire (A),0.0,
2020-01-07,Waverley (A),0.0,
2020-01-07,Willoughby (C),0.0,
2020-01-07,Woollahra (A),0.0,
2020-01-07,all,0.0,
2020-01-07,highSE,0.0,
2020-01-07,lowSE,0.0,
2020-01-07,midSE,0.0,
2020-01-08,Bayside (A),0.0,
2020-01-08,Blacktown (C),0.0,
2020-01-08,Burwood (A),0.0,
2020-01-08,Camden (A),0.0,
2020-01-08,Canada Bay (A),0.0,
2020-01-08,Canterbury-Bankstown (A),0.0,
2020-01-08,Central Coast (C) (NSW),0.0,
2020-01-08,Cumberland (A),0.0,
2020-01-08,Fairfield (C),0.0,
2020-01-08,Georges River (A),0.0,
2020-01-08,Hawkesbury (C),0.0,
2020-01-08,Hornsby (A),0.0,
2020-01-08,Hunters Hill (A),0.0,
2020-01-08,Inner West (A),0.0,
2020-01-08,Ku-ring-gai (A),0.0,
2020-01-08,Lane Cove (A),0.0,
2020-01-08,Liverpool (C),0.0,
2020-01-08,Mosman (A),0.0,
2020-01-08,North Sydney (A),0.0,
2020-01-08,Northern Beaches (A),0.0,
2020-01-08,Parramatta (C),0.0,
2020-01-08,Penrith (C),0.0,
2020-01-08,Randwick (C),0.0,
2020-01-08,Ryde (C),0.0,
2020-01-08,Strathfield (A),0.0,
2020-01-08,Sydney (C),0.0,
2020-01-08,The Hills Shire (A),0.0,
2020-01-08,Waverley (A),0.0,
2020-01-08,Willoughby (C),0.0,
2020-01-08,Woollahra (A),0.0,
2020-01-08,all,0.0,
2020-01-08,highSE,0.0,
2020-01-08,lowSE,0.0,
2020-01-08,midSE,0.0,
