date,name,mobility_score,cases_rolling
2020-04-04,Manningham (C),,1.1428571428571428
2020-04-04,Maribyrnong (C),,0.14285714285714285
2020-04-04,Maroondah (C),,0.14285714285714285
2020-04-04,Melbourne (C),,0.42857142857142855
2020-04-04,Melton (C),,0.5714285714285714
2020-04-04,Monash (C),,2.5714285714285716
2020-04-04,Moonee Valley (C),,1.5714285714285714
2020-04-04,Moreland (C),,1.4285714285714286
2020-04-04,Mornington Peninsula (S),,0.42857142857142855
2020-04-04,Nillumbik (S),,1.2857142857142858
2020-04-04,Port Phillip (C),,0.7142857142857143
2020-04-04,Stonnington (C),,0.8571428571428571
2020-04-04,Whitehorse (C),,1.4285714285714286
2020-04-04,Whittlesea (C),,0.0
2020-04-04,Wyndham (C),,0.7142857142857143
2020-04-04,Yarra (C),,1.1428571428571428
2020-04-04,all,,27.285714285714285
2020-04-04,highSE,,12.0
2020-04-04,lowSE,,6.0
2020-04-04,midSE,,9.285714285714286
2020-04-05,Banyule (C),,4.571428571428571
2020-04-05,Bayside (C),,0.42857142857142855
2020-04-05,Boroondara (C),,1.1428571428571428
2020-04-05,Brimbank (C),,0.5714285714285714
2020-04-05,Cardinia (S),,0.42857142857142855
2020-04-05,Casey (C),,0.7142857142857143
2020-04-05,Darebin (C),,0.2857142857142857
2020-04-05,Frankston (C),,1.4285714285714286
2020-04-05,Glen Eira (C),,0.2857142857142857
2020-04-05,Greater Dandenong (C),,0.42857142857142855
2020-04-05,Hobsons Bay (C),,0.0
2020-04-05,Hume (C),,1.0
2020-04-05,Kingston (C) (Vic.),,
2020-04-05,Knox (C),,0.5714285714285714
2020-04-05,Manningham (C),,1.1428571428571428
2020-04-05,Maribyrnong (C),,0.14285714285714285
2020-04-05,Maroondah (C),,0.14285714285714285
2020-04-05,Melbourne (C),,0.5714285714285714
2020-04-05,Melton (C),,0.5714285714285714
2020-04-05,Monash (C),,2.7142857142857144
2020-04-05,Moonee Valley (C),,1.5714285714285714
2020-04-05,Moreland (C),,1.2857142857142858
2020-04-05,Mornington Peninsula (S),,0.42857142857142855
2020-04-05,Nillumbik (S),,1.1428571428571428
2020-04-05,Port Phillip (C),,0.7142857142857143
2020-04-05,Stonnington (C),,0.7142857142857143
2020-04-05,Whitehorse (C),,1.2857142857142858
2020-04-05,Whittlesea (C),,0.2857142857142857
2020-04-05,Wyndham (C),,0.7142857142857143
2020-04-05,Yarra (C),,0.5714285714285714
2020-04-05,all,,25.857142857142858
2020-04-05,highSE,,11.428571428571429
2020-04-05,lowSE,,5.428571428571429
2020-04-05,midSE,,9.0
2020-04-06,Banyule (C),,3.5714285714285716
2020-04-06,Bayside (C),,0.42857142857142855
2020-04-06,Boroondara (C),,0.7142857142857143
2020-04-06,Brimbank (C),,0.5714285714285714
2020-04-06,Cardinia (S),,0.5714285714285714
2020-04-06,Casey (C),,1.2857142857142858
2020-04-06,Darebin (C),,0.2857142857142857
2020-04-06,Frankston (C),,0.8571428571428571
2020-04-06,Glen Eira (C),,0.42857142857142855
2020-04-06,Greater Dandenong (C),,0.5714285714285714
2020-04-06,Hobsons Bay (C),,0.0
2020-04-06,Hume (C),,0.14285714285714285
2020-04-06,Kingston (C) (Vic.),,
2020-04-06,Knox (C),,0.42857142857142855
2020-04-06,Manningham (C),,0.8571428571428571
2020-04-06,Maribyrnong (C),,0.14285714285714285
2020-04-06,Maroondah (C),,0.14285714285714285
2020-04-06,Melbourne (C),,0.7142857142857143
2020-04-06,Melton (C),,0.5714285714285714
2020-04-06,Monash (C),,2.0
2020-04-06,Moonee Valley (C),,1.4285714285714286
2020-04-06,Moreland (C),,0.8571428571428571
2020-04-06,Mornington Peninsula (S),,0.5714285714285714
2020-04-06,Nillumbik (S),,1.0
2020-04-06,Port Phillip (C),,0.7142857142857143
2020-04-06,Stonnington (C),,0.5714285714285714
2020-04-06,Whitehorse (C),,1.2857142857142858
2020-04-06,Whittlesea (C),,0.42857142857142855
2020-04-06,Wyndham (C),,0.42857142857142855
2020-04-06,Yarra (C),,0.42857142857142855
2020-04-06,all,,22.0
2020-04-06,highSE,,9.571428571428571
2020-04-06,lowSE,,4.857142857142857
2020-04-06,midSE,,7.571428571428571
2020-04-07,Banyule (C),0.21539786750585474,3.0
2020-04-07,Bayside (C),0.213395708005949,0.42857142857142855
2020-04-07,Boroondara (C),0.03430344254027191,0.42857142857142855
2020-04-07,Brimbank (C),0.03368470238510695,0.14285714285714285
2020-04-07,Cardinia (S),0.023704539310800944,0.5714285714285714
2020-04-07,Casey (C),0.15074118850366544,1.1428571428571428
2020-04-07,Darebin (C),0.07388021550375116,0.42857142857142855
2020-04-07,Frankston (C),-0.04815558951096303,0.7142857142857143
2020-04-07,Glen Eira (C),0.015757594829676556,0.42857142857142855
2020-04-07,Greater Dandenong (C),0.024616583973379933,0.7142857142857143
2020-04-07,Hobsons Bay (C),0.026717667291742075,0.0
2020-04-07,Hume (C),0.08754589202237274,0.2857142857142857
2020-04-07,Kingston (C) (Vic.),0.21886039658362821,
2020-04-07,Knox (C),0.21549312189054176,0.42857142857142855
2020-04-07,Manningham (C),0.021105873229382347,0.8571428571428571
2020-04-07,Maribyrnong (C),0.0658890003132707,0.14285714285714285
2020-04-07,Maroondah (C),0.10484831444304508,0.0
2020-04-07,Melbourne (C),0.018355169015077537,0.8571428571428571
2020-04-07,Melton (C),0.2517400613982702,0.42857142857142855
2020-04-07,Monash (C),0.11939977894174167,1.1428571428571428
2020-04-07,Moonee Valley (C),0.00800446241749774,0.8571428571428571
2020-04-07,Moreland (C),0.00798292366064078,0.7142857142857143
2020-04-07,Mornington Peninsula (S),0.12740677073668735,0.42857142857142855
2020-04-07,Nillumbik (S),0.0,1.0
2020-04-07,Port Phillip (C),-0.014364023779642549,0.7142857142857143
2020-04-07,Stonnington (C),-0.027475764700399554,0.42857142857142855
2020-04-07,Whitehorse (C),0.12859686977887466,1.1428571428571428
2020-04-07,Whittlesea (C),0.08805095540941091,0.7142857142857143
2020-04-07,Wyndham (C),0.13994262668580368,0.2857142857142857
2020-04-07,Yarra (C),-0.0011486497593777552,0.2857142857142857
2020-04-07,all,0.002620162269413136,18.714285714285715
2020-04-07,highSE,-0.00599806520918759,8.428571428571429
2020-04-07,lowSE,0.04206136316996754,4.714285714285714
2020-04-07,midSE,0.00817104508755598,5.571428571428571
2020-04-08,Banyule (C),0.20595257776318615,2.857142857142857
2020-04-08,Bayside (C),0.21125938221560378,0.2857142857142857
2020-04-08,Boroondara (C),0.04081118921199327,0.14285714285714285
2020-04-08,Brimbank (C),0.04048504281007459,0.0
2020-04-08,Cardinia (S),0.06113247440498409,0.42857142857142855
2020-04-08,Casey (C),0.14773608001255203,1.2857142857142858
2020-04-08,Darebin (C),0.07856839960351866,0.42857142857142855
2020-04-08,Frankston (C),-0.013644538470603115,0.5714285714285714
2020-04-08,Glen Eira (C),0.025757586445280218,0.2857142857142857
2020-04-08,Greater Dandenong (C),0.055541751943667984,0.42857142857142855
2020-04-08,Hobsons Bay (C),0.05127015820570628,0.0
2020-04-08,Hume (C),0.09794644215493106,0.14285714285714285
2020-04-08,Kingston (C) (Vic.),0.20794530054847724,
2020-04-08,Knox (C),0.22554915540830808,0.2857142857142857
2020-04-08,Manningham (C),0.038852853408600944,0.8571428571428571
2020-04-08,Maribyrnong (C),0.06972559479528426,0.14285714285714285
2020-04-08,Maroondah (C),0.11164161135979048,0.0
2020-04-08,Melbourne (C),0.032447327647560184,1.0
2020-04-08,Melton (C),0.23387021774665157,0.14285714285714285
2020-04-08,Monash (C),0.1060098189267019,1.0
2020-04-08,Moonee Valley (C),0.03308937586660549,0.8571428571428571
2020-04-08,Moreland (C),0.031696723300232044,0.5714285714285714
2020-04-08,Mornington Peninsula (S),0.14303906238746136,0.42857142857142855
2020-04-08,Nillumbik (S),0.0,0.7142857142857143
2020-04-08,Port Phillip (C),0.0008948454311295559,0.8571428571428571
2020-04-08,Stonnington (C),-0.016741775480030648,0.42857142857142855
2020-04-08,Whitehorse (C),0.14313731481528616,0.42857142857142855
2020-04-08,Whittlesea (C),0.10423679645146502,0.8571428571428571
2020-04-08,Wyndham (C),0.15354476745565743,0.2857142857142857
2020-04-08,Yarra (C),0.0018927287694521905,0.0
2020-04-08,all,0.01436027096009029,15.714285714285714
2020-04-08,highSE,0.005808240182365338,6.857142857142857
2020-04-08,lowSE,0.05277162244107631,4.0
2020-04-08,midSE,0.02000131882655166,4.857142857142857
2020-04-09,Banyule (C),0.19031416063700654,1.7142857142857142
2020-04-09,Bayside (C),0.20567612054914766,0.2857142857142857
2020-04-09,Boroondara (C),0.04865811259233766,0.0
2020-04-09,Brimbank (C),0.05714050655956781,0.0
2020-04-09,Cardinia (S),0.08729645675418171,0.2857142857142857
2020-04-09,Casey (C),0.13823295245817604,0.8571428571428571
2020-04-09,Darebin (C),0.08935263993646914,0.2857142857142857
2020-04-09,Frankston (C),0.02256003620191277,0.2857142857142857
2020-04-09,Glen Eira (C),0.04063744310389795,0.14285714285714285
